ablation_id,experiment_name,category,changed_component,variant_description,splitter,seed_set,OOF macro-F1,class0 F1,class1 F1,best_threshold,threshold_fragility,seed_std,public_lb_score,public_oof_delta,note,risk_flag,status,report_dir,oof_path
neg_easy_only,tab_easy_only_neg,negative,easy,Only random/easy negatives,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_easy_plus_same_category,tab_easy_plus_same_category_neg,negative,same_category,Easy + same-category negatives,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_easy_plus_same_brand,tab_easy_plus_same_brand_neg,negative,same_brand,Easy + same-brand negatives,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_easy_plus_attribute_conflict,tab_easy_plus_attribute_conflict_neg,negative,attribute_conflict,Easy + attribute-conflict negatives,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_easy_plus_lexical_confusing,tab_easy_plus_lexical_confusing_neg,negative,lexical_confusing,Easy + lexical confusing negatives,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_easy_plus_dense_hard,tab_easy_plus_dense_hard_neg,negative,dense_hard,Easy + dense semantic hard negatives,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
neg_full_negative_mix,tab_full_negative_mix_neg,negative,full_mix,Full negative mix including dense,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
neg_full_negative_mix_without_dense,tab_full_negative_mix_without_dense_neg,negative,full_mix_no_dense,Full negative mix without dense,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_strict_false_negative_filter,tab_strict_false_negative_filter_neg,negative,false_negative_filter,Strict false-negative filter,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
neg_moderate_false_negative_filter,tab_moderate_false_negative_filter_neg,negative,false_negative_filter,Moderate false-negative filter,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
